brand,model,milage,fuel_type,engine,transmission,ext_col,int_col,accident,clean_title,price,car_age
Land,Rover LR4 HSE,79800.0,Gasoline,375.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,A/T,White,Black,None reported,Yes,29990,13
Mercedes-Benz,Metris Base,1685.0,Gasoline,2.0L I4 16V GDI DOHC Turbo,9-Speed Automatic,Gray,White,None reported,Yes,250000,5
Dodge,Challenger SXT,61074.0,Gasoline,305.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Gray,None reported,Yes,16800,13
Nissan,350Z Enthusiast,74000.0,Gasoline,287.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Purple,–,None reported,Yes,11000,23
Jaguar,F-TYPE R,35250.0,Gasoline,550.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Green,Black,None reported,Yes,68750,8
Genesis,GV70 3.5T Sport,5400.0,Gasoline,375.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Green,Beige,Unknown,Unknown,60000,3
Chevrolet,S-10 LS,133510.0,E85 Flex Fuel,120.0HP 2.2L 4 Cylinder Engine Flex Fuel Capability,A/T,Blue,Black,None reported,Yes,4500,26
BMW,440 Gran Coupe 440i xDrive,25990.0,Gasoline,3.0 Liter Turbo,Automatic,White,Beige,None reported,Unknown,38598,6
Ford,F-150 XLT,2823.0,Gasoline,3.5L V6 24V PDI DOHC Twin Turbo,Automatic,Iconic Silver Metallic,Black,None reported,Yes,58504,3
Chevrolet,Suburban RST,52000.0,Gasoline,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,10-Speed A/T,Blue,Black,None reported,Yes,61000,5
Hyundai,Elantra N Base,11650.0,Gasoline,276.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,None reported,Yes,32300,4
Nissan,Sentra SR,96541.0,Gasoline,1.8 Liter,Automatic,Blue,Black,None reported,Unknown,13998,10
Mercedes-Benz,AMG CLA 45 Base 4MATIC,17500.0,Gasoline,382.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,Gray,Black,None reported,Yes,59995,5
BMW,650 Gran Coupe i xDrive,69000.0,Gasoline,445.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Gray,Black,None reported,Yes,25700,11
Audi,Q5 2.0T Premium Plus,81880.0,E85 Flex Fuel,2.0L I4 16V GDI DOHC Turbo Flexible Fuel,8-Speed Automatic,Mythos Black Metallic,Black,None reported,Yes,21375,9
Mercedes-Benz,AMG C 43 Base 4MATIC,28800.0,Gasoline,362.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,9-Speed A/T,Silver,Black,None reported,Yes,48000,8
Dodge,Ram 1500 Laramie Mega Cab,300183.0,Gasoline,345.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,A/T,Silver,Gray,At least 1 accident or damage reported,Yes,10900,20
BMW,i3 120Ah w/Range Extender,35035.0,Hybrid,120 AH,Automatic,Black,Black,None reported,Unknown,24998,6
Kia,Sorento SX,171000.0,Gasoline,276.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,Yes,5999,15
Lexus,LX 570 Base,118700.0,Gasoline,383.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Beige,None reported,Yes,46900,10
Jeep,New Compass Trailhawk,119000.0,Gasoline,180.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,A/T,Red,Black,None reported,Yes,15900,9
BMW,340 i,44261.0,Gasoline,3.0 Liter Turbo,Automatic,Gray,Black,None reported,Unknown,33598,8
Audi,A4 2.0T Premium Plus quattro,125575.0,Gasoline,211.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,Silver,Black,None reported,Yes,8999,14
Hyundai,Tucson SE,16200.0,Gasoline,173.0HP 2.7L V6 Cylinder Engine Gasoline Fuel,A/T,Gold,Beige,None reported,Yes,8200,19
BMW,Z4 sDrive28i,70000.0,Gasoline,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,White,Beige,At least 1 accident or damage reported,Yes,20000,12
Bentley,Continental GTC Base,20200.0,E85 Flex Fuel,552.0HP 6.0L 12 Cylinder Engine Flex Fuel Capability,6-Speed A/T,Black,Black,None reported,Yes,79950,15
Honda,Passport Elite,2978.0,Gasoline,3.5 Liter SOHC,Automatic,Lunar Silver Metallic,Gray,None reported,Unknown,45498,3
Dodge,Sprinter 2500,189719.0,Diesel,3.0L V6 Cylinder Engine Diesel Fuel,5-Speed A/T,White,Gray,At least 1 accident or damage reported,Yes,14000,19
BMW,M850 i xDrive,9949.0,Gasoline,4.4 Liter DOHC Twin Turbo,Automatic,Blue,Black,None reported,Unknown,75798,7
Lucid,Air Grand Touring,3552.0,Unknown,536.0HP Electric Motor Electric Fuel System,1-Speed A/T,Red,Beige,None reported,Yes,119999,4
Audi,A7 Premium,54000.0,Gasoline,310.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Brown,At least 1 accident or damage reported,Yes,36880,14
Chevrolet,Silverado 1500 Custom Trail Boss,51351.0,Gasoline,5.3L V8 16V GDI OHV,Automatic,Black,Jet Black,None reported,Yes,43147,5
MINI,Convertible John Cooper Works,24280.0,Gasoline,228.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Black,At least 1 accident or damage reported,Yes,29000,9
Toyota,Avalon Touring,89148.0,Gasoline,268.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,Yes,17500,10
Porsche,Cayenne Platinum Edition,73043.0,Gasoline,300.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Black,None reported,Yes,30990,9
Mercedes-Benz,AMG C 63 S,60000.0,Gasoline,503.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,Black,At least 1 accident or damage reported,Yes,52500,9
Honda,CR-V EX-L,73549.0,Gasoline,2.4L I4 16V GDI DOHC,Automatic CVT,Mountain Air Metallic,Black,At least 1 accident or damage reported,Unknown,20848,10
Hummer,H2 Base,110900.0,Gasoline,325.0HP 6.0L 8 Cylinder Engine Gasoline Fuel,A/T,Gray,Black,None reported,Yes,19500,21
Porsche,911 Carrera S,39000.0,Gasoline,400.0HP 3.8L Flat 6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Blue,Black,None reported,Yes,73000,13
Mercedes-Benz,CLA-Class CLA 250,120000.0,Gasoline,208.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,None reported,Yes,19800,10
Chrysler,300 Touring,134602.0,Gasoline,250.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Blue,Black,None reported,Yes,7500,17
Nissan,Rogue SV,1094.0,Gasoline,1.5L I3 12V GDI DOHC Turbo,Automatic CVT,Caspian Blue,Light Gray,None reported,Unknown,30999,3
Audi,A3 2.0T,83500.0,Gasoline,200.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Silver,Black,None reported,Yes,6500,16
Ford,Mustang GT Premium,37060.0,Gasoline,420.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,Black,None reported,Yes,28500,12
Acura,RL Technology,97700.0,Gasoline,300.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Blue,Beige,None reported,Yes,10995,16
Volvo,XC90 Hybrid T8 R-Design,40000.0,Plug-In Hybrid,400.0HP 2.0L 4 Cylinder Engine Plug-In Electric/Gas,Transmission w/Dual Shift Mode,Black,Black,None reported,Yes,42000,8
Audi,R8 5.2 V10,8940.0,Gasoline,5.2L V10 40V PDI DOHC,7-Speed Automatic with Auto-Shift,Tango Red Metallic,Black,None reported,Unknown,144900,8
Mercedes-Benz,GLK-Class GLK 350,186000.0,Gasoline,302.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Beige,At least 1 accident or damage reported,Yes,10000,12
Toyota,C-HR LE,13180.0,Gasoline,2.0 Liter,CVT-F,–,–,None reported,Unknown,23998,5
Lexus,IS 350 Base,104000.0,Gasoline,306.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,None reported,Yes,21000,12
BMW,X4 M40i,8500.0,Hybrid,382.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,Transmission w/Dual Shift Mode,Gray,Beige,None reported,Yes,67900,3
BMW,M4 CS,19069.0,Gasoline,3.0 Liter DOHC Turbo,Automatic,Alpine White,Anthracite,None reported,Unknown,69998,7
Cadillac,CT5 Premium Luxury,6090.0,Gasoline,237.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,White,Beige,None reported,Yes,46900,3
Lucid,Air Grand Touring,4900.0,Unknown,536.0HP Electric Motor Electric Fuel System,1-Speed A/T,Red,Black,None reported,Yes,99000,4
Audi,A5 2.0T Premium Plus,47523.0,Gasoline,248.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,None reported,Yes,31000,7
Chrysler,300C SRT8,43000.0,Gasoline,425.0HP 6.1L 8 Cylinder Engine Gasoline Fuel,5-Speed A/T,Silver,Black,At least 1 accident or damage reported,Yes,19995,20
Bentley,Continental GT W12,14684.0,Gasoline,582.0HP 6.0L 12 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,White,None reported,Yes,130000,9
BMW,M4 Base,57800.0,Gasoline,425.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Red,None reported,Yes,55999,7
Toyota,GR Corolla Circuit Edition,952.0,Gasoline,300.0HP 1.6L 3 Cylinder Engine Gasoline Fuel,6-Speed M/T,Silver,Gray,None reported,Yes,49950,3
Audi,RS 5 2.9T,21240.0,Gasoline,444.0HP 2.9L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,At least 1 accident or damage reported,Yes,59950,7
Porsche,Cayenne Base,59338.0,Gasoline,335.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,None reported,Yes,42499,7
Lamborghini,Huracan Tecnica Coupe,255.0,Gasoline,"5.2L V-10 gasoline direct injection, DOHC, variable valve contro",Automatic,BLU ELEOS,Nero Ade,None reported,Unknown,359991,3
Maserati,Quattroporte S,23230.0,Gasoline,424.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,None reported,Yes,44999,7
Jaguar,XF 35t R-Sport,48000.0,Gasoline,340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,A/T,Red,Black,At least 1 accident or damage reported,Yes,30000,9
Lexus,ES 330 Base,41059.0,Gasoline,225.0HP 3.3L V6 Cylinder Engine Gasoline Fuel,5-Speed A/T,White,Beige,None reported,Yes,11100,21
Land,Rover Discovery Sport SE R-Dynamic,21240.0,Gasoline,2.0 Liter,Automatic,White,Black,None reported,Unknown,37998,6
Porsche,Cayman GTS,11500.0,Gasoline,340.0HP 3.4L Flat 6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Silver,–,None reported,Yes,72000,11
Genesis,G90 3.3T Premium,9950.0,Gasoline,365.0HP 3.3L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Silver,Blue,None reported,Yes,53950,5
Volkswagen,Golf R 20th Anniversary Edition,633.0,Gasoline,315.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,White,Black,None reported,Yes,47999,3
Hyundai,Sonata Hybrid Limited,66000.0,Hybrid,199.0HP 2.4L 4 Cylinder Engine Gas/Electric Hybrid,A/T,White,Gray,At least 1 accident or damage reported,Yes,15900,11
Audi,RS 7 4.0T Prestige,59715.0,Gasoline,560.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,A/T,Gray,Black,At least 1 accident or damage reported,Yes,45000,12
BMW,740 Li,85252.0,Gasoline,326.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Black,None reported,Yes,18500,14
Mercedes-Benz,GLS 450 Base 4MATIC,17900.0,Hybrid,362.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,9-Speed A/T,Black,Black,At least 1 accident or damage reported,Yes,80000,6
BMW,M6 Base,25500.0,Gasoline,560.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,White,Black,None reported,Yes,55000,10
Subaru,Forester 2.5 X,210703.0,Gasoline,165.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,M/T,Green,Beige,Unknown,Unknown,2300,22
Hyundai,Elantra N Base,3800.0,Gasoline,276.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,White,Black,None reported,Yes,34000,3
Kia,Niro Plug-In Hybrid EX Premium,36602.0,Hybrid,1.6L I4 16V GDI DOHC Hybrid,6-Speed Automatic with Auto-Shift,Horizon Blue,Charcoal,None reported,Yes,31995,4
Rivian,R1S Adventure Package,2800.0,Unknown,835.0HP Electric Motor Electric Fuel System,1-Speed A/T,White,Green,None reported,Yes,92000,3
Aston,Martin DBS Superleggera,2165.0,Gasoline,5.2L V12 48V GDI DOHC Twin Turbo,8-Speed Automatic,Black,Black,None reported,Yes,279950,5
Mercedes-Benz,SLC 300 Base,33000.0,Gasoline,241.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,9-Speed A/T,Red,Black,At least 1 accident or damage reported,Yes,29900,8
BMW,435 Gran Coupe i,76009.0,Gasoline,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Beige,None reported,Yes,24950,10
Jeep,Grand Cherokee Summit,31349.0,Gasoline,5.7L V8 16V MPFI OHV,8-Speed Automatic,Granite Crystal Clearcoat Metallic,Black,None reported,Unknown,39366,6
Lexus,RC 350 Base,48000.0,Gasoline,306.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Orange,Red,None reported,Yes,32900,11
BMW,525 i,91420.0,Gasoline,215.0HP 2.5L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Black,None reported,Yes,8900,21
Toyota,Corolla LE,124756.0,Gasoline,130.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,M/T,Beige,Beige,At least 1 accident or damage reported,Yes,4995,23
Cadillac,CT5-V Blackwing,2415.0,Gasoline,6.2L V8 16V GDI OHV Supercharged,10-Speed Automatic,Rift Metallic,Gray,None reported,Unknown,104900,3
GMC,Acadia SLT-1,116226.0,Gasoline,288.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Black,None reported,Yes,7900,14
Lexus,LC 500 Base,37869.0,Gasoline,5.0L V8 32V PDI DOHC,10-Speed Automatic,Atomic Silver,Rioja Red,None reported,Unknown,75950,6
BMW,i8 Base,41500.0,Plug-In Hybrid,369.0HP 1.5L 3 Cylinder Engine Plug-In Electric/Gas,Transmission w/Dual Shift Mode,White,Black,None reported,Yes,86000,7
Lexus,ES 300h Base,87001.0,Hybrid,200.0HP 2.5L 4 Cylinder Engine Gas/Electric Hybrid,CVT Transmission,Gold,Beige,None reported,Yes,17995,13
Cadillac,CT5-V V-Series,4451.0,Gasoline,3.0L V6 24V GDI DOHC Twin Turbo,Automatic,Summit White,Jet Black,At least 1 accident or damage reported,Yes,55655,4
BMW,540 i xDrive,27158.0,Gasoline,2.0 Liter Turbo,Automatic,Imperial Blue Metallic,Canberra Beige/Black,None reported,Unknown,39998,6
Chevrolet,Express 1500 Work Van,139804.0,Gasoline,195.0HP 4.3L V6 Cylinder Engine Gasoline Fuel,A/T,White,Gray,At least 1 accident or damage reported,Yes,14500,12
Jeep,Gladiator Rubicon,27300.0,Gasoline,285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,A/T,Green,Black,None reported,Yes,47500,4
BMW,Z4 sDrive28i,36812.0,Gasoline,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Beige,None reported,Yes,27000,12
Land,Rover LR4 HSE LUX Landmark Edition,144000.0,Gasoline,340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,At least 1 accident or damage reported,Yes,18000,10
Cadillac,XT4 Sport,44500.0,Gasoline,237.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,9-Speed A/T,Blue,White,None reported,Yes,28900,7
BMW,750 750i xDrive,10917.0,Gasoline,4.4 Liter Twin Turbo,Automatic,Black,Black,None reported,Unknown,73998,5
Bentley,Arnage R,8332.0,Gasoline,400.0HP 6.75L 8 Cylinder Engine Gasoline Fuel,4-Speed A/T,White,Beige,None reported,Yes,47350,21
Lincoln,Aviator Reserve AWD,51247.0,Gasoline,3.0 Liter GTDI,Automatic,Magnetic Gray Clearcoat,Roast,None reported,Unknown,47698,6
Mercedes-Benz,AMG GL AMG GL 63 4MATIC,69000.0,Gasoline,550.0HP 5.5L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Brown,None reported,Yes,36500,10
RAM,ProMaster 3500 High Roof,147834.0,Gasoline,3.6L V6 24V MPFI DOHC,6-Speed Automatic,Bright White Clearcoat,Black,None reported,Yes,32662,5
Ford,Utility Police Interceptor Base,105000.0,E85 Flex Fuel,300.0HP 3.7L V6 Cylinder Engine Flex Fuel Capability,A/T,White,Black,At least 1 accident or damage reported,Yes,6600,13
Audi,A5 2.0T Premium,92203.0,Gasoline,211.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Red,Beige,None reported,Yes,9995,15
Nissan,GT-R Premium,15600.0,Gasoline,485.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Black,None reported,Yes,69500,16
Land,Rover Range Rover Sport 3.0L Supercharged HSE,104700.0,Gasoline,V6,Automatic,Fuji White,Ivory / Ebony,At least 1 accident or damage reported,Unknown,30775,8
Toyota,Corolla LE,72348.0,Gasoline,132.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,A/T,Red,Gray,At least 1 accident or damage reported,Yes,9995,16
Rivian,R1S Adventure Package,2500.0,Unknown,835.0HP Electric Motor Electric Fuel System,A/T,Green,White,None reported,Yes,94000,3
Mercedes-Benz,C-Class C300 4MATIC,13177.0,Gasoline,2.0 Liter Turbo,Automatic,White,Silk Beige/Black,None reported,Unknown,44798,4
Porsche,Cayenne E-Hybrid S,96000.0,Plug-In Hybrid,416.0HP 3.0L V6 Cylinder Engine Plug-In Electric/Gas,Transmission w/Dual Shift Mode,White,Red,At least 1 accident or damage reported,Yes,23000,10
Chevrolet,Express 1500 Work Van,93009.0,E85 Flex Fuel,5.3L V8 16V MPFI OHV Flexible Fuel,4-Speed Automatic,Summit White,Medium Pewter,None reported,Yes,22495,15
INFINITI,Q70h Base,52750.0,Hybrid,360.0HP 3.5L V6 Cylinder Engine Gas/Electric Hybrid,7-Speed A/T,White,Black,At least 1 accident or damage reported,Yes,28998,10
Audi,A7 Premium Plus,25361.0,Hybrid,3.0 Liter Turbo,Automatic,Typhoon Gray,Black,None reported,Unknown,49998,6
Audi,Q7 3.0T Premium Plus,98527.0,Gasoline,280.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,Unknown,Unknown,9995,11
Lucid,Air Pure,1300.0,Unknown,620.0HP Electric Motor Electric Fuel System,A/T,Black,Gray,Unknown,Unknown,86900,3
Chrysler,Pacifica Touring,87305.0,–,–,9-Speed A/T,Silver,Black,None reported,Yes,9000,9
Audi,TTS 2.0T Premium Plus,72922.0,Gasoline,265.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,White,Black,Unknown,Unknown,25999,14
BMW,650 Gran Coupe i xDrive,41000.0,Gasoline,445.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,None reported,Yes,30000,11
Subaru,Forester Premium,42125.0,Gasoline,2.5L H4 16V GDI DOHC,Automatic CVT,Crystal Black Silica,Black,None reported,Yes,27899,5
Mercedes-Benz,AMG C AMG C 63,62000.0,Gasoline,469.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,None reported,Yes,40000,10
Land,Rover LR3 HSE,153843.0,Gasoline,300.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Red,Beige,At least 1 accident or damage reported,Yes,9950,20
BMW,X7 xDrive40i,35248.0,Gasoline,3.0 Liter Twin Turbo,Automatic,Arctic Gray Metallic,Black,None reported,Unknown,53998,7
Ford,Transit Connect XLT,194454.0,Gasoline,169.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,White,Black,None reported,Yes,9888,11
Lexus,LX 570 Three-Row,21000.0,Gasoline,383.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Black,None reported,Yes,89999,5
Porsche,911 Carrera S,18494.0,Gasoline,400.0HP 3.8L Flat 6 Cylinder Engine Gasoline Fuel,7-Speed M/T,Black,Black,Unknown,Unknown,86900,13
Dodge,Ram 2500 Laramie Quad Cab,218000.0,Gasoline,330.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,4-Speed A/T,Red,Gray,None reported,Yes,12990,20
Nissan,Armada SL,67800.0,Gasoline,400.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,Silver,Black,At least 1 accident or damage reported,Yes,36500,5
Porsche,Cayman Base,79000.0,Gasoline,275.0HP 2.7L Flat 6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Red,Black,At least 1 accident or damage reported,Yes,42999,12
Mercedes-Benz,GLE 450 GLE 450,24906.0,Hybrid,3.0 Liter Turbo,Automatic,Selenite Grey Metallic,Black,None reported,Unknown,63998,4
Chevrolet,Monte Carlo SS,66840.0,Gasoline,303.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,A/T,White,Gray,At least 1 accident or damage reported,Yes,12000,20
BMW,M5 Base,86000.0,Gasoline,560.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Blue,White,None reported,Yes,32000,13
Hyundai,Kona N Base,654.0,Gasoline,2.0L I4 16V GDI DOHC Turbo,8-Speed Automatic with Auto-Shift,Ultra Black,Black,None reported,Yes,34599,3
Chevrolet,Monte Carlo SS,75000.0,Gasoline,240.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,Yes,12500,21
Land,Rover Range Rover Evoque Pure,84000.0,Gasoline,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,9-Speed A/T,Beige,Black,At least 1 accident or damage reported,Yes,22800,11
Audi,S7 4.0T Premium Plus,52500.0,Gasoline,450.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,Gray,None reported,Yes,39999,9
GMC,Acadia SLT-1,120000.0,Gasoline,288.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Silver,Gray,None reported,Yes,7500,15
Alfa,Romeo Stelvio Ti Sport,18665.0,Gasoline,2.0L I4 16V GDI SOHC Turbo,8-Speed Automatic,Lunare White Metallic,Ice,None reported,Yes,35645,6
Ferrari,FF Base,19987.0,Gasoline,651.0HP 6.3L 12 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,Brown,None reported,Yes,149900,10
Kia,K900 5.0L,36486.0,Gasoline,420.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Beige,At least 1 accident or damage reported,Yes,23950,9
Ford,E150 XLT,162100.0,E85 Flex Fuel,255.0HP 5.4L 8 Cylinder Engine Flex Fuel Capability,4-Speed A/T,Black,Gray,None reported,Yes,12500,13
Tesla,Model 3 Performance,13079.0,Unknown,455.0HP Electric Motor Electric Fuel System,A/T,Black,White,None reported,Yes,47000,4
Toyota,4Runner SR5,28377.0,Gasoline,4.0L V6 24V MPFI DOHC,5-Speed Automatic,Silver,Gray,None reported,Unknown,36999,4
Subaru,Forester Base,32744.0,Gasoline,182.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,CVT Transmission,Black,Gray,None reported,Yes,24000,6
Porsche,Panamera 2,54000.0,Gasoline,300.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,A/T,White,–,At least 1 accident or damage reported,Yes,26000,14
Toyota,Tacoma PreRunner,202055.0,Gasoline,236.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,A/T,Silver,Gray,At least 1 accident or damage reported,Yes,8500,18
RAM,2500 Laramie,65000.0,Diesel,370.0HP 6.7L Straight 6 Cylinder Engine Diesel Fuel,6-Speed A/T,Black,Black,None reported,Yes,65000,7
Kia,Sportage Nightfall,9686.0,Gasoline,2.4L I4 16V GDI DOHC,6-Speed Automatic,Hyper Red,Black,None reported,Yes,30990,4
Cadillac,DTS Base,49620.0,Gasoline,275.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,A/T,White,Gray,None reported,Yes,10499,16
